PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,PitchLocationConfidence,CatcherThrowLocationConfidence,CatcherThrowReleaseConfidence,PitchMovementConfidence
1,2023-01-17,16:17:20.70,1,1,"Lorent, Wilkin",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.23461,-1.6528,-2.786233,2190.54231,235.825,1:45,5.30163,0.55208,4.89556,-22.93194,12.59953,16.94091,1.82504,-0.67365,82.82025,-5.858473,0.19661,0.429021,,,,,,,,,,,,-9.09674,6.98378,-0.29405,50,5.12069,5.55594,-130.79997,-4.66387,-15.8429,26.22082,-20.01108,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,f29a7d80-96a3-11ed-a773-df94705731b4,87.85694,,,7.41435,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:17:20.70,2023-01-17T16:17:20.7010992-04:00,2023-01-17T20:17:20.7010992Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.60321,-131.91843,13.11041,5.30143,-3.81029,-10.00554,-0.54545,6.23173,-7.92145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
2,2023-01-17,16:17:39.18,1,2,"Lorent, Wilkin",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.47631,-1.478359,-3.676746,2260.166387,226.729628,1:30,5.31906,0.30088,4.78349,-17.88733,17.61092,17.54414,2.42403,-1.72677,82.94867,-4.796496,-0.599554,0.42882,,,,,,,,,,,,-9.55426,9.35819,0.05068,50,5.15614,7.56502,-131.03926,-4.04458,-16.7292,25.87167,-15.78815,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,fda09a70-96a3-11ed-a773-df94705731b4,87.89807,,,7.52765,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:17:39.18,2023-01-17T16:17:39.1888560-04:00,2023-01-17T20:17:39.1888560Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.71501,-132.16278,12.93583,5.3169,-3.35895,-7.89408,-0.29362,8.29152,-8.3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
3,2023-01-17,16:17:59.00,1,3,"Lorent, Wilkin",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.2598,0.157611,-0.862077,2208.764349,225.264999,1:30,5.45224,0.47454,4.46217,-18.50072,17.79717,16.7617,4.0608,1.04936,82.0058,-3.277047,2.067169,0.433623,,,,,,,,,,,,-8.34024,8.9276,-0.40075,50,5.45208,1.114,-130.785,-0.33884,-14.40551,28.29601,-16.75401,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,0973cb60-96a4-11ed-a773-df94705731b4,86.92448,,,8.25399,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:17:59.00,2023-01-17T16:17:59.0047920-04:00,2023-01-17T20:17:59.0047920Z,,v3,,,,", ccc",,Undefined,WOR_PR1,56.03399,-132.08403,14.148,5.44998,0.43032,-8.377,-0.46707,1.77533,-7.20276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
4,2023-01-17,16:18:16.45,1,4,"Lorent, Wilkin",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.25801,-1.340365,-1.917813,2118.944916,213.912234,1:15,5.33428,0.2769,4.74849,-15.17599,20.73686,13.14347,2.79743,-0.4474,82.1248,-4.200332,0.390277,0.431317,,,,,,,,,,,,-6.97126,10.88812,-0.09635,50,5.18711,3.73195,-130.76696,-3.57476,-12.05201,27.9825,-13.35054,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,13d6ca80-96a4-11ed-a773-df94705731b4,87.3892,,,8.13321,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:18:16.45,2023-01-17T16:18:16.4592304-04:00,2023-01-17T20:18:16.4592304Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.74804,-131.99123,13.99125,5.33073,-2.99066,-6.67527,-0.27116,4.25925,-6.02601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
5,2023-01-17,16:18:35.26,1,5,"Lorent, Wilkin",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.48792,-1.422723,-3.790392,2075.185247,240.052921,2:00,5.12043,0.57844,5.43635,-30.931,11.62209,17.99131,1.20739,-1.47687,75.30812,-7.1011,-0.593978,0.469502,,,,,,,,,,,,-10.0463,6.59189,-0.25559,50,4.97284,7.10954,-118.17981,-3.96729,-14.34816,20.44107,-22.75948,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,1f253b10-96a4-11ed-a773-df94705731b4,80.28183,,,6.1798,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:18:35.26,2023-01-17T16:18:35.2699568-04:00,2023-01-17T20:18:35.2699568Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.06368,-119.05243,10.22054,5.12146,-2.9957,-11.37974,-0.57217,7.72206,-7.17408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
6,2023-01-17,16:19:04.30,2,1,"Lorent, Wilkin",,Right,WOR_PR1,"Soriano, Adrian",,Right,WOR_PR1,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.05549,-1.879806,-2.291267,2269.031943,233.343327,1:45,5.33581,0.3162,4.9213,-21.06848,14.80776,18.30099,1.80086,-0.32606,82.09203,-5.775386,0.934117,0.431097,,,,,,,,,,,,-9.6702,8.19461,-0.10877,50,5.13543,4.3404,-130.4657,-5.06823,-16.63178,27.99559,-18.08012,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,305c9450-96a4-11ed-a773-df94705731b4,87.43385,,,7.96346,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:19:04.30,2023-01-17T16:19:04.3029680-04:00,2023-01-17T20:19:04.3029680Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.57626,-131.65683,13.99779,5.3347,-4.29897,-9.04006,-0.3085,5.04803,-8.31589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
7,2023-01-17,16:19:19.01,2,2,"Lorent, Wilkin",,Right,WOR_PR1,"Soriano, Adrian",,Right,WOR_PR1,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.7375,-2.080004,-2.814672,2238.37986,228.170526,1:30,5.51385,0.30517,4.51839,-20.04611,15.99178,16.47887,1.85899,-1.00456,82.3685,-5.777703,0.066105,0.432067,,,,,,,,,,,,-8.80603,8.73973,-0.02741,50,5.27806,5.61501,-131.23206,-5.54985,-15.28006,29.0665,-17.00902,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,3922fa70-96a4-11ed-a773-df94705731b4,87.23749,,,8.369,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:19:19.01,2023-01-17T16:19:19.0132912-04:00,2023-01-17T20:19:19.0132912Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.97786,-132.54948,14.53325,5.51213,-4.77893,-8.50451,-0.2976,6.30757,-7.64003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
8,2023-01-17,16:19:37.83,2,3,"Lorent, Wilkin",,Right,WOR_PR1,"Soriano, Adrian",,Right,WOR_PR1,Undefined,1,Top,1,0,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.16125,-0.873425,-1.733065,2261.428747,235.339018,1:45,5.36648,0.26275,4.48131,-20.92824,15.49528,20.64096,2.78956,0.33056,81.90837,-4.729195,1.87593,0.434372,76.46674,17.706323,157.277676,4001.261131,,,,,22.63992,,,-10.55733,8.14111,-0.10173,50,5.25548,2.92003,-130.60418,-2.81287,-18.14923,28.71619,-18.17857,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,4458d9f0-96a4-11ed-a773-df94705731b4,86.77447,9.41576,,8.25288,,,,0.32606,2.77197,-0.35092,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:19:37.83,2023-01-17T16:19:37.8371248-04:00,2023-01-17T20:19:37.8371248Z,,v3,,,,", ccc",,Undefined,WOR_PR1,56.01669,-131.92045,14.3581,5.36531,-1.97962,-9.08929,-0.25465,3.75194,-9.07462,272.324708,0.32545,-98.51147,13.38023,,,,,,,2.77343,34.02345,-20.75739,,,,,,,-0.3458,40.96635,-24.62772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,Low,,High,,,High
9,2023-01-17,16:20:01.30,2,4,"Lorent, Wilkin",,Right,WOR_PR1,"Soriano, Adrian",,Right,WOR_PR1,Undefined,1,Top,1,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.48849,-2.061954,-3.127524,2137.446499,238.856343,2:00,5.14979,0.67437,5.55187,-28.8999,13.82292,20.58214,0.81106,-0.53573,74.7106,-7.409114,0.541647,0.470437,,,,,,,,,,,,-11.34615,7.97713,-0.41796,50,4.9522,5.64173,-118.1375,-5.17945,-16.03144,22.54906,-20.90283,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,526afe60-96a4-11ed-a773-df94705731b4,80.12222,,,6.77789,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:20:01.30,2023-01-17T16:20:01.3039280-04:00,2023-01-17T20:20:01.3039280Z,,v3,,,,", ccc",,Undefined,WOR_PR1,54.9477,-119.07812,11.27453,5.15007,-4.30749,-10.45141,-0.66725,6.31048,-8.01572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
10,2023-01-17,16:20:32.31,3,1,"Lorent, Wilkin",,Right,WOR_PR1,"Castro, Rayniel",,Left,WOR_PR1,Undefined,1,Top,2,0,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,1,0,,79.32973,-0.63292,-0.791775,2019.119693,214.890758,1:15,5.21891,0.67444,5.19258,-32.75329,12.45457,7.75808,1.89402,0.57609,73.26944,-6.629715,0.58356,0.483925,68.9966,36.807711,-5.20115,4443.771085,107.82495,61.8446,-21.76522,230.95241,227.12552,-18.060194,4.391241,-4.11292,6.7754,-0.60726,50,5.13551,1.285,-115.23386,-2.36688,-5.5736,19.84479,-22.99243,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,64e8e160-96a4-11ed-a773-df94705731b4,77.88893,63.86575,,6.06029,,,,2.58809,2.08006,-0.56592,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:20:32.31,2023-01-17T16:20:32.3105456-04:00,2023-01-17T20:20:32.3105456Z,FlyBall,v3,,,,", ccc",,Undefined,WOR_PR1,55.3067,-116.14415,9.92239,5.21989,-1.31221,-11.49622,-0.67207,1.54066,-2.7868,156.849864,2.58985,80.64421,-16.34088,3.8845,-0.53369,-0.02059,0.02384,-0.00366,0.00018,2.07884,60.65489,-15.7457,0.37591,0.06839,-0.05659,0.02423,-0.00471,0.00032,-0.56539,-7.35767,-3.94329,0.68006,-0.02088,-0.03225,0.00966,-0.00113,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
